Original City,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
aksarka,1544406183,Aksarka,RU,67.8,66.56,-12.2,82,56,4.36,1544421508,1544431455
bandarbeyla,1544405948,Bandarbeyla,SO,50.81,9.49,25.55,100,68,7.01,1544409715,1544451423
ajdabiya,1544406188,Ajdabiya,LY,20.22,30.75,15.93,87,92,4.01,1544419543,1544456279
teonthar,1544406192,Teonthar,IN,81.65,24.98,14.65,82,0,1.21,1544404039,1544442288
harkany,1544403600,Harkany,HU,18.24,45.85,4.0,93,0,3.1,1544422635,1544454134
verkhneuralsk,1544403600,Verkhneuralsk,RU,59.21,53.88,-11.0,72,75,1.31,1544414993,1544442101
arivonimamo,1544403600,Arivonimamo,MG,47.18,-19.01,16.0,93,20,2.1,1544407594,1544455294
viedma,1544406197,Viedma,AR,-62.99,-40.81,17.78,56,48,3.61,1544430833,1544484963
sola,1544406203,Sola,VU,167.55,-13.88,27.15,100,92,7.01,1544379276,1544425815
pontianak,1544406205,Pontianak,ID,109.34,-0.02,29.75,86,48,1.26,1544394693,1544438344
najran,1544403600,Najran,SA,44.22,17.54,17.0,51,0,0.26,1544412158,1544452143
ouadda,1544406210,Ouadda,CF,22.4,8.07,15.58,58,8,3.16,1544416389,1544458391
taungdwingyi,1544406215,Taungdwingyi,MM,95.55,20.0,23.43,91,44,1.86,1544400111,1544439543
oistins,1544403600,Oistins,BB,-59.53,13.07,26.0,69,20,9.3,1544436582,1544477535
galatas,1544404800,Galatas,GR,21.56,38.36,14.0,76,92,2.6,1544420384,1544454792
ak-dovurak,1544406221,Ak-Dovurak,RU,90.6,51.17,-31.68,66,20,0.81,1544406605,1544435418
jian,1544406223,Jian,CN,114.98,27.12,3.73,100,92,1.96,1544396306,1544434017
tiznit,1544406229,Tiznit,MA,-9.73,29.7,13.33,81,0,0.71,1544426590,1544463612
karratha,1544406235,Karratha,AU,116.85,-20.74,39.88,29,0,3.76,1544390666,1544438771
sabang,1544406246,Sabang,ID,120.82,1.17,28.05,100,76,4.06,1544392057,1544435468
mpanda,1544406260,Mpanda,TZ,31.07,-6.34,17.9,96,92,1.16,1544412838,1544457782
bubaque,1544406263,Bubaque,GW,-15.83,11.28,26.65,100,0,4.01,1544425901,1544467234
moose factory,1544403600,Moose Factory,CA,-80.61,51.26,-9.0,78,90,3.1,1544447752,1544476478
koumac,1544406271,Koumac,NC,164.28,-20.56,28.4,63,20,4.66,1544379302,1544427361
puerto escondido,1544402400,Puerto Escondido,MX,-97.07,15.86,27.0,74,40,1.5,1544445896,1544486246
artyom,1544403600,Artyom,AZ,50.33,40.47,7.0,100,90,2.6,1544413846,1544447516
mabaruma,1544406277,Mabaruma,GY,-59.78,8.2,23.18,96,20,2.01,1544436132,1544478106
pihani,1544406282,Pihani,IN,80.2,27.62,12.03,86,0,1.26,1544404721,1544442301
merauke,1544406286,Merauke,ID,140.4,-8.49,30.13,92,20,4.76,1544386368,1544431757
eufaula,1544405340,Eufaula,US,-85.15,31.89,6.7,95,90,2.91,1544445004,1544481411
homestead,1544403180,Homestead,US,-80.48,25.47,24.4,84,1,5.1,1544443029,1544481145
gondanglegi,1544406294,Gondanglegi,ID,112.01,-7.75,28.25,88,12,1.81,1544393261,1544438496
lamar,1544403180,Lamar,US,-102.62,38.09,-1.1,53,1,2.6,1544450158,1544484644
horodyshche,1544405400,Horodyshche,UA,29.29,50.76,0.0,94,68,5.0,1544421213,1544450248
rawson,1544406301,Rawson,AR,-65.11,-43.3,20.3,35,0,3.41,1544430828,1544485987
morecambe,1544406312,Morecambe,GB,-2.87,54.07,6.78,98,32,4.76,1544429969,1544456933
akot,1544406317,Akot,IN,77.05,21.09,19.65,93,92,2.86,1544404678,1544443858
krasnoborsk,1544406321,Krasnoborsk,RU,45.93,61.56,-5.5,88,88,2.51,1544421742,1544441725
dubrovnik,1544403600,Dubrovnik,HR,18.09,42.65,8.0,70,20,7.2,1544422000,1544454841
richards bay,1544406335,Richards Bay,ZA,32.06,-28.77,18.58,100,92,6.91,1544409990,1544460161
caxito,1544403600,Caxito,AO,13.66,-8.58,25.0,83,75,1.5,1544416784,1544462195
champerico,1544406348,Champerico,GT,-91.92,14.3,24.18,100,24,0.76,1544444491,1544485179
seymchan,1544406350,Seymchan,RU,152.39,62.93,-27.63,74,56,1.41,1544397133,1544415216
matamoros,1544402760,Matamoros,MX,-103.23,25.53,17.0,45,5,1.0,1544448499,1544486599
chestermere,1544403600,Chestermere,CA,-113.82,51.04,4.0,35,90,3.6,1544455664,1544484512
murray bridge,1544406363,Murray Bridge,AU,139.28,-35.12,22.18,72,0,6.01,1544383302,1544435371
kamenka,1544406366,Kamenka,RU,44.05,53.19,-3.88,94,80,6.41,1544418405,1544445968
guangyuan,1544406367,Guangyuan,CN,105.86,32.43,2.05,83,56,1.31,1544399216,1544435485
rio gallegos,1544403600,Rio Gallegos,AR,-69.22,-51.62,15.0,44,0,3.6,1544429616,1544489183
saintes,1544403600,Saintes,FR,-0.63,45.74,10.0,93,48,2.1,1544427142,1544458687
makakilo city,1544403420,Makakilo City,US,-158.09,21.35,26.7,54,20,6.2,1544461166,1544500273
cermik,1544403000,Cermik,TR,39.45,38.14,8.0,75,75,3.1,1544416051,1544450536
agirish,1544406389,Agirish,RU,63.02,61.92,-13.6,84,44,1.66,1544417876,1544437385
nehe,1544406391,Nehe,CN,124.88,48.48,-17.08,41,0,2.06,1544397647,1544427917
takanabe,1544403600,Takanabe,JP,131.49,32.13,10.0,53,75,4.1,1544393019,1544429376
sao francisco do sul,1544406400,Sao Francisco do Sul,BR,-48.64,-26.24,22.48,98,48,6.26,1544429703,1544479196
